expression,reading,meaning,tags,JLPT Level
現像,げんぞう,developing (film),JLPT_1 JLPT,1
原則,げんそく,"principle, general rule",JLPT_1 JLPT,1
見地,けんち,point of view,JLPT_1 JLPT,1
現地,げんち,"actual place, local",JLPT_1 JLPT,1
限定,げんてい,"limit, restriction",JLPT_1 JLPT,1
原点,げんてん,"origin (coordinates, starting point)",JLPT_1 JLPT,1
原典,げんてん,"original, source",JLPT_1 JLPT,1
原爆,げんばく,atomic bomb,JLPT_1 JLPT,1
原文,げんぶん,"the text, original",JLPT_1 JLPT,1
厳密,げんみつ,"strict, close",JLPT_1 JLPT,1
賢明,けんめい,"wisdom, intelligence, prudence",JLPT_1 JLPT,1
倹約,けんやく,"thrift, economy, frugality",JLPT_1 JLPT,1
原油,げんゆ,crude oil,JLPT_1 JLPT,1
兼用,けんよう,"multi-use, combined use",JLPT_1 JLPT,1
権力,けんりょく,"(political) power, authority, influence",JLPT_1 JLPT,1
言論,げんろん,"discussion, speech",JLPT_1 JLPT,1
故～,こ～,"deceased, late",JLPT_1 JLPT,1
語彙,ごい,"vocabulary, glossary",JLPT_1 JLPT,1
恋する,こいする,"to fall in love with, to love",JLPT_1 JLPT,1
甲,こう,1st in rank; shell,JLPT_1 JLPT,1
～光,～こう,light,JLPT_1 JLPT,1
好意,こうい,"good will, favor, courtesy",JLPT_1 JLPT,1
行為,こうい,"act, deed, conduct",JLPT_1 JLPT,1
合意,ごうい,"agreement, consent, mutual understanding",JLPT_1 JLPT,1
工学,こうがく,engineering,JLPT_1 JLPT,1
抗議,こうぎ,"protest, objection",JLPT_1 JLPT,1
合議,ごうぎ,"consultation, conference",JLPT_1 JLPT,1
皇居,こうきょ,Imperial Palace,JLPT_1 JLPT,1
好況,こうきょう,"prosperous conditions, healthy economy",JLPT_1 JLPT,1
鉱業,こうぎょう,mining industry,JLPT_1 JLPT,1
興業,こうぎょう,starting a business; industry,JLPT_1 JLPT,1
高原,こうげん,"tableland, plateau",JLPT_1 JLPT,1
交互,こうご,"mutual, reciprocal, alternate",JLPT_1 JLPT,1
煌々と,こうこうと,brightly,JLPT_1 JLPT,1
考古学,こうこがく,archeology,JLPT_1 JLPT,1
工作,こうさく,"handicraft, maneuvering",JLPT_1 JLPT,1
耕作,こうさく,"cultivation, farming",JLPT_1 JLPT,1
鉱山,こうざん,mine,JLPT_1 JLPT,1
講習,こうしゅう,"short course, training",JLPT_1 JLPT,1
口述,こうじゅつ,verbal statement,JLPT_1 JLPT,1
控除,こうじょ,"subsidy, deduction",JLPT_1 JLPT,1
交渉,こうしょう,negotiation,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
高尚,こうしょう,"high, noble, refined",JLPT_1 JLPT,1
向上,こうじょう,"rise, improvement, progress",JLPT_1 JLPT,1
行進,こうしん,"march, parade",JLPT_1 JLPT,1
香辛料,こうしんりょう,spices,JLPT_1 JLPT,1
降水,こうすい,"rainfall, precipitation",JLPT_1 JLPT,1
洪水,こうずい,flood,JLPT_1 JLPT,1
合成,ごうせい,"synthetic, mixed",JLPT_1 JLPT,1
公然,こうぜん,openly,JLPT_1 JLPT,1
抗争,こうそう,"dispute, resistance",JLPT_1 JLPT,1
構想,こうそう,"plan, plot, idea, conception",JLPT_1 JLPT,1
後退,こうたい,"retreat, backspace",JLPT_1 JLPT,1
光沢,こうたく,"luster, glossy finish (of photographs)",JLPT_1 JLPT,1
公団,こうだん,public corporation,JLPT_1 JLPT,1
好調,こうちょう,"satisfactory, in good shape",JLPT_1 JLPT,1
口頭,こうとう,oral,JLPT_1 JLPT,1
講読,こうどく,reading,JLPT_1 JLPT,1
購読,こうどく,subscription,JLPT_1 JLPT,1
購入,こうにゅう,"purchase, buy",JLPT_1 JLPT,1
公認,こうにん,"official recognition, authorization",JLPT_1 JLPT,1
光熱費,こうねつひ,cost of fuel and light,JLPT_1 JLPT,1
購買,こうばい,"purchase, buy",JLPT_1 JLPT,1
好評,こうひょう,"popularity, favorable reputation",JLPT_1 JLPT,1
交付,こうふ,"delivering, furnishing (with copies)",JLPT_1 JLPT,1
公募,こうぼ,"public appeal, public contribution",JLPT_1 JLPT,1
巧妙,こうみょう,"ingenious, skillful, clever",JLPT_1 JLPT,1
公用,こうよう,"government business, public use, public expense",JLPT_1 JLPT,1
小売,こうり,retail,JLPT_1 JLPT,1
効率,こうりつ,efficiency,JLPT_1 JLPT,1
公立,こうりつ,public institution,JLPT_1 JLPT,1
護衛,ごえい,"guard, convoy, escort",JLPT_1 JLPT,1
コーナー,コーナー,corner,JLPT_1 JLPT,1
小柄,こがら,"small, diminutive",JLPT_1 JLPT,1
小切手,こぎって,"cheque, check",JLPT_1 JLPT,1
国産,こくさん,domestic products,JLPT_1 JLPT,1
国定,こくてい,"state-sponsored, national",JLPT_1 JLPT,1
告白,こくはく,"confession, acknowledgment",JLPT_1 JLPT,1
国防,こくぼう,national defense,JLPT_1 JLPT,1
国有,こくゆう,national ownership,JLPT_1 JLPT,1
極楽,ごくらく,paradise,JLPT_1 JLPT,1
国連,こくれん,"U.N., United Nations",JLPT_1 JLPT,1
焦げ茶,こげちゃ,dark brown,JLPT_1 JLPT,1
語源,ごげん,"word root, word derivation, etymology",JLPT_1 JLPT,1
心地,ここち,"feeling, sensation, mood",JLPT_1 JLPT,1
心得,こころえ,"knowledge, information",JLPT_1 JLPT,1
心掛け,こころがけ,"readiness, intention, aim",JLPT_1 JLPT,1
心掛ける,こころがける,"to bear in mind, to aim to do",JLPT_1 JLPT,1
志,こころざし,"will, intention, motive",JLPT_1 JLPT,1
志す,こころざす,"to plan, to intend, to aspire to",JLPT_1 JLPT,1
心強い,こころづよい,"heartening, reassuring",JLPT_1 JLPT,1
心細い,こころぼそい,"helpless, hopeless, discouraging",JLPT_1 JLPT,1
試み,こころみ,"trial, experiment",JLPT_1 JLPT,1
試みる,こころみる,"to try, to test",JLPT_1 JLPT,1
快い,こころよい,"pleasant, agreeable",JLPT_1 JLPT,1
誤差,ごさ,error,JLPT_1 JLPT,1
ございます (かん),ございます (かん),"to be (polite, to exist)",JLPT_1 JLPT,1
孤児,こじ,orphan,JLPT_1 JLPT,1
こじれる,こじれる,"to get complicated, to grow worse",JLPT_1 JLPT,1
こす (みずを～),こす (みずを～),"to strain, to filter",JLPT_1 JLPT,1
梢,こずえ,treetop,JLPT_1 JLPT,1
個性,こせい,"individuality, personality, idiosyncrasy",JLPT_1 JLPT,1
戸籍,こせき,"census, family register",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,1
古代,こだい,ancient times,JLPT_1 JLPT,1
こたつ,こたつ,"table with heater, (originally) charcoal brazier in a floor well",JLPT_1 JLPT,1
